miRNA	Gene
mmu-miR-17-5p	Tceal1
mmu-miR-3473a	Pten
mmu-miR-690	Cebpe
mmu-miR-27a-3p	Bax
mmu-miR-23a-3p	Bax
mmu-miR-23a-3p	Pmaip1
mmu-miR-27a-3p	Pmaip1
mmu-miR-27a-3p	Bbc3
mmu-miR-23a-3p	Bbc3
mmu-miR-34a-5p	TGIF2
mmu-miR-96-5p	Insig2
mmu-miR-182-5p	Fbxw7
mmu-miR-210-3p	Shh
mmu-miR-146b-5p	Nfkb1
mmu-miR-133b-3p	Foxl2
mmu-miR-200c-3p	Zfpm2
mmu-miR-200b-3p	Zfpm2
mmu-miR-132-3p	Ache
mmu-miR-335-3p	Ank3
mmu-miR-29b-3p	Igf1
mmu-miR-29a-3p	Cx3cl1
mmu-miR-29a-3p	Igf1
mmu-miR-200c-3p	Nog
mmu-miR-20a-5p	Vegfa
mmu-miR-17-5p	Vegfa
mmu-miR-181b-5p	Hspa5
mmu-miR-181b-5p	Uchl1
mmu-miR-338-3p	Fgfr2
mmu-miR-338-3p	Runx2
mmu-miR-150-5p	Ppargc1a
mmu-miR-150-5p	Prdm16
mmu-let-7a-5p	IL6
mmu-miR-133a-3p	Rapgef3
mmu-miR-133a-3p	Prkacb
mmu-miR-133a-3p	Adcy6
mmu-miR-133a-3p	Adrb1
mmu-miR-137-3p	Nr1i3
mmu-miR-15a-5p	Vegfa
mmu-miR-16-5p	Cd40
mmu-miR-15a-5p	Cd40
mmu-miR-15a-5p	Fgf2
mmu-miR-16-5p	Fgf2
mmu-miR-181d-5p	Runx1
mmu-miR-106a-5p	Hif1a
mmu-miR-106a-5p	Vegfa
mmu-miR-7a-1-3p	Pfn2
mmu-miR-7a-2-3p	Pfn2
mmu-miR-7a-1-3p	Prkcb
mmu-miR-7a-2-3p	Prkcb
mmu-miR-7a-1-3p	Snca
mmu-miR-7a-2-3p	Snca
mmu-miR-7a-2-3p	Zdhhc9
mmu-miR-7a-1-3p	Zdhhc9
mmu-miR-7a-1-3p	Wipf2
mmu-miR-7a-2-3p	Wipf2
mmu-miR-7a-1-3p	Cplx1
mmu-miR-7a-2-3p	Cplx1
mmu-miR-7a-2-3p	Basp1
mmu-miR-19b-3p	Gja3
mmu-miR-7a-1-3p	Basp1
mmu-miR-19a-3p	Gja3
mmu-miR-29b-3p	Sox2
mmu-miR-19b-3p	Wnt1
mmu-miR-21a-5p	Mmp9
mmu-miR-155-5p	Gsk3b
mmu-miR-146a-5p	RNF11
mmu-miR-106b-5p	Fgfr1op2
mmu-miR-141-3p	Slc23a2
mmu-miR-200a-3p	Slc23a2
mmu-miR-125a-5p	Hif1an
mmu-miR-370-3p	Tgfbr3
mmu-miR-302a-3p	Nr2f2
mmu-miR-150-5p	Cxcr4
mmu-miR-17-3p	Pawr
mmu-miR-24-2-5p	Smad5
mmu-miR-20a-5p	Atg16l1
mmu-miR-143-3p	Dnmt3a
mmu-miR-24-3p	Pou5f1
mmu-miR-96-5p	Akt1s1
mmu-miR-34a-5p	Slc22a12
mmu-miR-200c-3p	Reln
mmu-miR-150-5p	Ripk2
mmu-miR-155-5p	Csnk1a1
mmu-miR-153-3p	Cacna1c
mmu-miR-23b-3p	Tmod1
mmu-miR-7a-5p	Sp1
mmu-miR-7a-5p	Parp1
mmu-miR-378a-3p	GLI3
mmu-miR-30a-5p	IL21R
mmu-miR-17-5p	Ulk1
mmu-miR-128-3p	Abhd5
mmu-miR-291b-3p	Prkaa1
mmu-miR-494-3p	Fgfr2
mmu-miR-494-3p	Rock1
mmu-miR-125b-2-3p	Eef2k
mmu-miR-125b-2-3p	Ccna2
mmu-miR-26a-5p	Atf2
mmu-miR-18a-5p	IRF2
mmu-let-7i-5p	Il6
mmu-let-7i-5p	Col1a2
mmu-miR-210-3p	Il16
mmu-miR-210-3p	Cxcl12
mmu-miR-27b-3p	Arntl
mmu-miR-367-3p	Irak4
mmu-miR-1894-3p	Trim46
mmu-miR-130b-3p	Irf1
mmu-miR-27a-3p	Sp7
mmu-miR-764-3p	Nr5a1
mmu-miR-145a-5p	Nr4a2
mmu-miR-339-5p	Bace1
mmu-miR-448-3p	Ncf1
mmu-miR-374b-5p	Myf6
mmu-miR-23a-3p	Stat1
mmu-miR-29a-3p	Scap
mmu-miR-29b-3p	Scap
mmu-miR-29c-3p	Scap
mmu-miR-106b-5p	Smad5
mmu-miR-17-5p	Smad5
mmu-miR-301a-3p	Socs5
mmu-miR-301a-3p	Irf1
mmu-miR-338-3p	TNFSF11
mmu-miR-19b-3p	Etv5
mmu-miR-93-5p	Nfe2l2
mmu-miR-212-3p	Hmgb1
mmu-miR-434-3p	Eif5a
mmu-miR-299a-5p	ATG5
mmu-miR-18a-5p	HIF1A
mmu-miR-7a-5p	Nlrp3
mmu-miR-142a-5p	Wwp1
mmu-miR-33-5p	Ccl2
mmu-miR-124-3p	PIM1
mmu-miR-101b-3p	Prkaa1
mmu-let-7e-5p	Col27a1
mmu-miR-24-3p	Bbc3
mmu-miR-146a-5p	Wnt1
mmu-miR-146a-5p	Wnt5a
mmu-miR-128-3p	MAPK14
mmu-miR-27b-3p	Dtna
mmu-miR-106b-5p	Egr2
mmu-miR-30b-5p	Bach2
mmu-miR-487b-3p	Il33
mmu-miR-7a-5p	Herpud2
mmu-miR-33-5p	Hmga2
mmu-miR-421-3p	SIRT3
mmu-miR-211-5p	Nuak1
mmu-miR-223-3p	Il17rd
mmu-miR-330-5p	Cdc42
mmu-miR-491-5p	Cdk4
mmu-miR-491-5p	Tcf7
mmu-miR-455-3p	Runx2
mmu-miR-101b-3p	COX2
mmu-miR-26b-3p	COX2
mmu-miR-106b-5p	Klf9
mmu-miR-29a-3p	Lpl
mmu-miR-17-5p	Bmpr2
mmu-miR-20a-5p	Bmpr2
mmu-miR-93-5p	Bmpr2
mmu-miR-106a-5p	Bmpr2
mmu-miR-451a	MIF
mmu-miR-221-3p	SSSCA1
mmu-miR-1a-3p	GTF2B
mmu-miR-139-5p	Rho
mmu-miR-10a-5p	Rho
mmu-miR-222-3p	Gja1
mmu-miR-23a-3p	Smad5
mmu-miR-27a-3p	Smad5
mmu-miR-27a-3p	Foxo1
mmu-miR-27a-3p	Lrpprc
mmu-miR-27a-3p	Smad3
mmu-miR-127-3p	Bcl6
mmu-miR-199b-3p	Jag1
mmu-miR-451a	Ankrd46
mmu-miR-687	Pten
mmu-miR-31-5p	Tgfb2
mmu-miR-150-5p	Srf
mmu-miR-330-5p	PDIA3
mmu-miR-26a-5p	Ripk2
mmu-miR-143-3p	Map3k7
mmu-miR-195a-5p	Zfp423
mmu-miR-21a-5p	Map2k3
mmu-miR-23a-3p	TNFAIP3
mmu-miR-214-3p	Dio3
mmu-miR-20a-5p	Trp63
mmu-miR-200a-3p	Sirt1
mmu-miR-149-5p	PRDM16
mmu-miR-21a-5p	Sod2
mmu-miR-195a-5p	Mmp2
mmu-miR-154-5p	Wnt11
mmu-miR-146a-5p	TRAF6
mmu-miR-21a-5p	SORBS2
mmu-miR-210-3p	Ndrg1
mmu-miR-210-3p	Arg1
mmu-miR-125b-1-3p	Esr1
mmu-miR-26a-5p	Wnt5a
mmu-miR-146a-5p	Hes1
mmu-miR-146a-5p	Pparg
mmu-miR-219a-5p	Wee1
mmu-miR-186-5p	Cxcl13
mmu-miR-140-5p	Tgfbr1
mmu-miR-140-5p	Wnt11
mmu-miR-140-5p	Ostm1
mmu-miR-200c-3p	VIM
mmu-miR-291b-3p	Rela
mmu-miR-30e-5p	DLL4
mmu-miR-9-5p	ERG
mmu-miR-200b-3p	App
mmu-miR-106a-5p	App
mmu-miR-9-5p	Foxo3
mmu-miR-126a-3p	Adam9
mmu-miR-126a-3p	Itga11
mmu-miR-29a-5p	Mcl1
mmu-miR-182-5p	Akt1
mmu-miR-182-5p	Ctbp2
mmu-miR-92a-2-5p	Tnfrsf1a
mmu-miR-451a	Irf8
mmu-miR-467g	Runx2
mmu-miR-155-3p	Socs1
mmu-miR-155-3p	Mitf
mmu-miR-20a-5p	TGFBR2
mmu-miR-24-2-5p	Trib3
mmu-miR-181c-5p	DPYSL2
mmu-miR-141-3p	Igf2
mmu-miR-200a-3p	Igf2
mmu-let-7e-5p	Col1a1
mmu-let-7e-5p	Col1a2
mmu-let-7e-5p	Col3a1
mmu-let-7e-5p	Col24a1
mmu-let-7e-5p	Itga1
mmu-let-7e-5p	Itga4
mmu-let-7e-5p	Scd1
mmu-let-7e-5p	Thbs1
mmu-miR-33-3p	Arg1
mmu-miR-10a-3p	Creb1
mmu-miR-34b-3p	Ldha
mmu-miR-449a-3p	Ldha
mmu-miR-29b-1-5p	Pdgfrb
mmu-miR-29b-1-5p	Akt1
mmu-miR-29b-1-5p	Fn1
mmu-miR-29b-1-5p	Gli1
mmu-miR-29b-1-5p	Acta2
mmu-miR-29b-1-5p	Col1a2
mmu-miR-146a-3p	Notch1
mmu-miR-146a-3p	Erbb4
mmu-miR-181c-3p	Foxo1
mmu-miR-17-5p	Tcf7l2
mmu-miR-365-3p	Kcnh2
mmu-miR-196a-5p	Tgfbr2
mmu-miR-196b-5p	Tgfbr2
mmu-miR-504-5p	Grb10
mmu-miR-504-5p	Egr2
mmu-miR-24-3p	MAPK7
mmu-miR-21a-5p	Sox5
mmu-miR-99b-5p	Mfge8
mmu-miR-214-3p	Atg12
mmu-miR-33-3p	Abca1
mmu-miR-26a-5p	Tug1
mmu-miR-133a-5p	Rbpj
mmu-miR-181a-5p	Idh1
mmu-miR-155-3p	Ces3a
mmu-miR-19a-3p	Fzd4
mmu-miR-19a-3p	Lrp6
mmu-miR-423-3p	Cox6a2
mmu-miR-423-3p	Ndufb7
mmu-miR-423-3p	Ndufs5
mmu-miR-146b-5p	Notch1
mmu-miR-29a-3p	Tet1
mmu-miR-188-3p	ATG7
mmu-miR-30b-3p	Ppif
mmu-miR-139-5p	Notch1
mmu-miR-139-5p	Irs1
mmu-miR-3090-5p	Igf1
mmu-miR-346-3p	Igf1
mmu-miR-494-3p	Igf1
mmu-miR-200b-3p	Cited2
mmu-miR-132-3p	Mapt
mmu-miR-499-5p	Pten
mmu-miR-223-3p	KRT3
mmu-miR-7a-5p	Myrip
mmu-miR-7a-5p	Pax6
mmu-miR-153-3p	Cltc
mmu-miR-153-3p	Clcn4
mmu-miR-153-3p	Slc4a4
mmu-miR-467a-5p	Bax
mmu-miR-376b-3p	Nfkbiz
mmu-miR-376b-3p	Stat3
mmu-miR-148a-3p	Wnt1
mmu-miR-155-5p	Arntl
mmu-miR-1a-3p	Bdnf
mmu-miR-144-3p	Traf6
mmu-miR-29a-3p	Cd36
mmu-miR-29a-3p	Slc2a4
mmu-miR-214-3p	Pten
mmu-miR-17-3p	Txnip
mmu-miR-497a-5p	Reck
mmu-miR-125b-5p	RYBP
mmu-miR-96-3p	Insr
mmu-miR-96-3p	Ins1
mmu-miR-92a-3p	Ezh2
mmu-miR-132-3p	Sox4
mmu-miR-31-5p	Vav3
mmu-miR-31-5p	Stk40
mmu-miR-410-5p	Il6
mmu-miR-181b-1-3p	Alox15
mmu-miR-877-3p	Smad7
mmu-miR-9-3p	Scn2b
mmu-miR-27a-5p	Zc3h12a
mmu-miR-26a-1-3p	Ctgf
mmu-miR-378a-3p	Mapk1
mmu-miR-128-3p	Dcx
mmu-miR-193b-3p	RAD51
mmu-miR-23a-3p	Tnfaip3
mmu-miR-23a-3p	Jak1
mmu-miR-23a-3p	Stat6
mmu-miR-27a-3p	Irf4
mmu-miR-19b-3p	Gja1
mmu-miR-615-5p	Msx2
mmu-miR-615-5p	Hoxa7
mmu-miR-615-5p	Mbp
mmu-miR-615-5p	Lin28a
mmu-miR-615-5p	Cdkn2a
mmu-miR-615-5p	Igf2
mmu-miR-124-5p	Dll1
mmu-miR-124-5p	Sox9
mmu-miR-124-5p	Zic2
mmu-miR-124-5p	Fabp7
mmu-miR-124-5p	Hopx
mmu-miR-124-5p	Pou5f1
mmu-miR-124-5p	Dicer1
mmu-miR-124-5p	Fgf8
mmu-miR-124-5p	Cdh1
mmu-miR-124-5p	Vax2
mmu-miR-124-5p	Dlk1
mmu-miR-124-5p	Ntrk2
mmu-miR-143-5p	Apc
mmu-miR-143-5p	Fosl1
mmu-miR-143-5p	Dnmt3b
mmu-miR-34a-5p	FNDC5
mmu-miR-27a-3p	MEF2C
mmu-miR-223-3p	Lif
mmu-miR-126a-3p	Dnmt1
mmu-miR-126a-3p	Vegfa
mmu-miR-15b-5p	Nr2c2
mmu-miR-200b-3p	Jun
mmu-miR-200c-3p	Jun
mmu-miR-203-5p	Glrb
mmu-miR-146a-3p	Irak1
mmu-miR-146a-3p	Traf6
mmu-miR-19a-3p	PTEN
mmu-miR-150-5p	Akt1
mmu-miR-155-3p	Dnajb1
mmu-miR-155-3p	Dnajb2
mmu-miR-144-3p	Pten
mmu-miR-144-3p	Spred1
mmu-miR-98-5p	Wnt1
mmu-miR-151-5p	Il4ra
mmu-miR-16-5p	Cd274
mmu-miR-204-5p	Sirt1
mmu-miR-34c-5p	LGR4
mmu-miR-34a-5p	Syt1
mmu-miR-34a-5p	Atg9a
mmu-miR-34b-5p	Met
mmu-miR-340-5p	Met
mmu-miR-148a-3p	Met
mmu-miR-301a-3p	Pten
mmu-miR-140-3p	Fn1
mmu-miR-138-5p	Birc5
mmu-miR-29a-3p	Eomes
mmu-miR-29a-3p	Tbx21
mmu-miR-130a-3p	Irf1
mmu-miR-130a-3p	Il6st
mmu-miR-18a-5p	Igf1
mmu-miR-467b-5p	Slc17a6
mmu-miR-24-3p	Tcf7
mmu-miR-34a-5p	Wasf1
mmu-miR-342-5p	GFAP
mmu-miR-142a-5p	Becn1
mmu-miR-27a-3p	Wnt3a
mmu-miR-28a-5p	Pdk1
mmu-miR-34a-5p	SIRT1
mmu-miR-138-5p	SIRT1
mmu-miR-205-5p	Ddit3
mmu-miR-484	PCDH19
mmu-miR-148a-3p	Pten
mmu-miR-709	Gsk3b
mmu-miR-7a-5p	Klf4
mmu-miR-29b-3p	Vegfa
mmu-miR-511-5p	Tnfrsf1a
mmu-miR-96-5p	Sdc2
mmu-miR-141-5p	Sdc2
mmu-miR-183-5p	Sdc2
mmu-miR-200c-5p	Sdc2
mmu-miR-182-5p	Myod1
mmu-miR-152-3p	Pten
mmu-miR-375-3p	Pdk1
mmu-miR-124-3p	CAV1
mmu-miR-200b-5p	ARHGDIA
mmu-miR-23a-5p	Pten
mmu-miR-23a-5p	Casp7
mmu-miR-27a-5p	Foxo1
mmu-miR-181b-5p	NOTCH1
mmu-miR-20a-5p	Rest
mmu-miR-29b-1-5p	Sox4
mmu-miR-449a-5p	Lef1
mmu-miR-206-3p	Pim1
mmu-miR-145a-5p	CBFB
mmu-miR-195a-5p	Ccne1
mmu-miR-497a-5p	Ccne1
mmu-miR-497a-5p	Ccnd2
mmu-miR-195a-5p	Ccnd2
mmu-miR-193b-3p	Kit
mmu-miR-199a-5p	Ctgf
mmu-miR-17-5p	Egln1
mmu-miR-20a-5p	Egln1
mmu-miR-214-3p	Ctgf
mmu-miR-182-5p	Tlr4
mmu-miR-155-5p	SOCS1
mmu-miR-429-3p	Bcl2
mmu-miR-329-3p	Dlk1
mmu-miR-134-5p	Cd86
mmu-miR-101a-3p	Ackr3
mmu-miR-9-5p	Mycn
mmu-miR-126a-3p	Errfi1
mmu-miR-126a-3p	Fzd7
mmu-miR-217-5p	Sirt1
mmu-miR-21a-5p	Rc3h1
mmu-miR-146a-5p	Rc3h1
mmu-miR-215-5p	Fndc3b
mmu-miR-215-5p	Ctnnbip1
mmu-miR-34c-5p	Vamp2
mmu-miR-27a-3p	Tlr4
mmu-miR-17-5p	Piwil2
mmu-miR-199a-5p	Ccnb1
mmu-miR-99b-5p	Mtor
mmu-miR-30a-3p	Tnrc6a
mmu-miR-30b-3p	Tnrc6a
mmu-miR-30c-1-3p	Tnrc6a
mmu-miR-455-5p	Calr
mmu-miR-203-3p	Myd88
mmu-miR-181b-5p	Il6
mmu-miR-133a-5p	Ilf3
mmu-miR-23a-3p	Apaf1
mmu-miR-146b-5p	Smad4
mmu-miR-17-3p	Hif1a
mmu-miR-17-3p	Vegfa
mmu-miR-146b-5p	IRF5
mmu-miR-376b-3p	Hoxd10
mmu-miR-30c-5p	FASN
mmu-miR-122-5p	Myc
mmu-miR-194-5p	CHD1
mmu-miR-192-5p	H3f3b
mmu-miR-204-5p	CYBB
mmu-miR-106b-5p	CYBB
mmu-miR-148b-3p	CYBB
mmu-miR-20b-5p	Zfp148
mmu-miR-23b-5p	Smad3
mmu-miR-101a-3p	Neurod1
mmu-miR-30b-5p	Neurod1
mmu-miR-202-3p	Ccr7
mmu-miR-26a-5p	COX2
mmu-miR-26b-5p	COX2
mmu-miR-181b-5p	Tgfb1
mmu-miR-125a-5p	Uvrag
mmu-miR-351-5p	Uvrag
mmu-miR-29c-3p	Bace1
mmu-miR-34a-3p	Foxo3
mmu-miR-125a-5p	Stat3
mmu-miR-125a-5p	Ifng
mmu-miR-125a-5p	Il13
mmu-miR-208a-3p	Sox6
mmu-miR-20a-5p	KDM6B
mmu-miR-21a-3p	RECK
mmu-miR-146a-5p	EGR1
mmu-miR-22-5p	Tiam1
mmu-miR-494-3p	Pten
mmu-miR-146a-3p	Camk2d
mmu-miR-146a-3p	Tgif1
mmu-miR-146a-5p	Ppp3r2
mmu-miR-146a-5p	Tgif1
mmu-miR-146a-5p	Camk2d
mmu-miR-211-5p	Ppm1k
mmu-miR-204-5p	Ppm1k
mmu-miR-124-3p	GRIA2
mmu-miR-107-3p	Cdk6
mmu-miR-223-3p	Il6
mmu-miR-181a-5p	Stat3
mmu-miR-421-5p	Pink1
mmu-miR-34c-5p	Jag1
mmu-miR-34c-5p	Notch1
mmu-miR-7b-5p	Klf4
mmu-miR-182-3p	Rtn4
mmu-miR-145b	Cited2
mmu-miR-204-5p	Ephb2
mmu-miR-204-5p	Grin1
mmu-miR-141-3p	MNX1
mmu-miR-200a-3p	MNX1
mmu-miR-669n	Senp6
mmu-miR-503-5p	Bmpr1a
mmu-miR-181a-5p	TGFB1
mmu-miR-696	Ppargc1a
mmu-miR-186-5p	Bace1
mmu-miR-30a-5p	Irf4
mmu-miR-150-5p	Zfp36l1
mmu-miR-150-5p	Elk1
mmu-miR-142a-3p	Hmgb1
mmu-miR-27b-3p	Elk1
mmu-miR-7a-5p	Ptk2
mmu-miR-146a-5p	VSIVgp2
mmu-miR-93-5p	VSIVgp2
mmu-miR-378a-5p	VSIVgp2
mmu-miR-24-3p	VSIVgp5
